Study_ID,Fire_name,Fire_year,site,comid,totdasqkm,streamorde,burn_percentage,Climate,Biome,Time_Since_Fire,response_var,Effect_size,Lat,Long,number_of_burn,State,group
Uzun et al. 2020,Wragg Fire,2015,Wragg Fire,15032969,16.5357,2,70.0648,Csa,Temperate,1,NO3_Interp,-1.4038784576475674,38.512031,-122.097228,NA,NA,NA
Uzun et al. 2020,Rocky Fire,2015,Rocky Fire,8009327,2390.2362,6,12.8141,Csa,Temperate,2,NO3_Interp,-2.523624055603431,38.923564,-122.326478,NA,NA,NA
Uzun et al. 2020,Wragg Fire,2015,Wragg Fire,15032969,16.5357,2,70.0648,Csa,Temperate,2,NO3_Interp,-1.9038360329879964,38.512031,-122.097228,NA,NA,NA
Wagner et al. 2015,High Park Fire,2012,PSF,2899449,693.8973,4,1.5243,Dfb,Cold,1,DOC_Interp,-0.4217573948728868,40.716,-105.233,4,Colorado,5
Wagner et al. 2015,High Park Fire,2012,PNF,2900989,1254.2697,5,16.7187,Dfb,Cold,1,DOC_Interp,-0.6091057775083416,40.716,-105.233,4,Colorado,5
Writer et al. 2014,High Park Fire,2012,PNF,2900989,1254.2697,5,16.7187,Dfb,Cold,0,DOC_Interp,-0.3651480585147016,40.716,-105.233,NA,NA,NA
Writer et al. 2014,High Park Fire,2012,PSF,2899449,693.8973,4,1.5243,Dfb,Cold,0,DOC_Interp,-0.4623748929438658,40.716,-105.233,NA,NA,NA
Writer et al. 2014,High Park Fire,2012,PNF,2900989,1254.2697,5,16.7187,Dfb,Cold,1,DOC_Interp,-0.619805853304341,40.716,-105.233,NA,NA,NA
Writer et al. 2014,High Park Fire,2012,PSF,2899449,693.8973,4,1.5243,Dfb,Cold,1,DOC_Interp,-0.3994634277186648,40.716,-105.233,NA,NA,NA
Writer et al. 2014,High Park Fire,2012,PNF,2900989,1254.2697,5,16.7187,Dfb,Cold,0,NO3_Interp,-0.22445633786858216,40.716,-105.233,NA,NA,NA
Writer et al. 2014,High Park Fire,2012,PSF,2899449,693.8973,4,1.5243,Dfb,Cold,0,NO3_Interp,-0.1726924417168119,40.716,-105.233,NA,NA,NA
Writer et al. 2014,High Park Fire,2012,PNF,2900989,1254.2697,5,16.7187,Dfb,Cold,1,NO3_Interp,-0.73752899074672,40.716,-105.233,NA,NA,NA
Writer et al. 2014,High Park Fire,2012,PSF,2899449,693.8973,4,1.5243,Dfb,Cold,1,NO3_Interp,0.6342845717183738,40.716,-105.233,NA,NA,NA
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,22950879,1.9386,1,100,Dfc,Cold,1,NO3_Interp,1.911426272610421,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,22949989,77.9949,3,24.087,Dfc,Cold,1,NO3_Interp,1.872308461156119,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,22949619,105.8112,3,13.8379,Dfc,Cold,1,NO3_Interp,2.332128722301076,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Quartz_Creek,22949475,136.8477,3,27.0952,Dfc,Cold,1,NO3_Interp,2.4314632577693227,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,22950879,1.9386,1,100,Dfc,Cold,2,NO3_Interp,0.9052735213660048,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,22949989,77.9949,3,24.087,Dfc,Cold,2,NO3_Interp,1.7931305712867058,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,22949619,105.8112,3,13.8379,Dfc,Cold,2,NO3_Interp,2.2632756340805606,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Quartz_Creek,22949475,136.8477,3,27.0952,Dfc,Cold,2,NO3_Interp,2.1956752619491127,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,22950879,1.9386,1,100,Dfc,Cold,3,NO3_Interp,0.5730656823751883,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,22949989,77.9949,3,24.087,Dfc,Cold,3,NO3_Interp,2.123237518978183,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,22949619,105.8112,3,13.8379,Dfc,Cold,3,NO3_Interp,1.1968588798283115,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Bowman_Creek,22949571,137.0853,3,5.7229,Dfc,Cold,3,NO3_Interp,1.2844252245417789,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Quartz_Creek,22949475,136.8477,3,27.0952,Dfc,Cold,3,NO3_Interp,1.4865638267876355,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Bench_Creek,22950879,1.9386,1,100,Dfc,Cold,4,NO3_Interp,0.6206869330306183,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Red_Meadow_Creek,22949989,77.9949,3,24.087,Dfc,Cold,4,NO3_Interp,2.355939128240543,48.763,-114.226,5,Montana,28
Hauer & Spencer 1998,Red Bench Fire,1988,Akokala_Creek,22949619,105.8112,3,13.8379,Dfc,Cold,4,NO3_Interp,1.144040408000032,48.763,-114.226,5,Montana,28
