Study_ID,DOI,Design (Control/Burn; Pre/Post),Latitude,Longitude,Area_watershed,Area_unit,Pair,Climate,Site,Sampling_Date,Burn_Unburn,Time_Since_Fire,Mean_Median_or_IndividualSample,DOC,DOC_unit,STDEV_DOC,STER_DOC,NO3,NO3_unit,STDEV_NO3,STER_NO3,Data_Found,Notes
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,,TOC_mg_L,,,0.212025756,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,4.843,TOC_mg_L,,,0.06529736,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/8/18,Burned,0,Individual,9.711,TOC_mg_L,,,0.154776631,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,39.091,TOC_mg_L,,,0.342446862,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.026668307,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.340419302,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,4.673,TOC_mg_L,,,0.283858432,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.377051797,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.1518438,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.452307144,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.241589692,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.367044206,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.246438475,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,3.617,TOC_mg_L,,,0.296910464,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,37.693,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,1.067234539,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.039831948,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,31.581,TOC_mg_L,,,0.331645609,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.150306078,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.381726966,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,24.423,TOC_mg_L,,,0.015346213,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,33.855,TOC_mg_L,,,0.011607317,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,3.535,TOC_mg_L,,,0.363838553,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,,TOC_mg_L,,,0.086726254,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/10/18,Burned,0,Individual,39.155,TOC_mg_L,,,0,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/12/18,Burned,0,Individual,,TOC_mg_L,,,1.496401455,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/16/18,Burned,0,Individual,,TOC_mg_L,,,1.702511943,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/16/18,Burned,0,Individual,,TOC_mg_L,,,1.780687721,mg_L,,,,
Crandall et al. 2021,https://doi.org/10.1371/journal.pone.0257733,Control_Reference_vs_Impact,40.071704,-111.57715,1650,km,Site_3,,Spanish Fork Upper,10/19/18,Burned,0,Individual,3.567,TOC_mg_L,,,2.112103911,mg_L,,,,
