Column_or_Row_Name,Unit,Definition,Data_Type,header_count,files
maxelevsmo,centimeters,Maximum elevation (smoothed) in centimeters extracted from the national hydrography dataset (NHD; https://www.epa.gov/waterdata/nhdplus-national-hydrography-dataset-plus).,numeric,12,"geospatial_data.csv, burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest 1.39.32 PM.csv, effect_size_geospatial_fire.csv, effect_size_geospatial_fire_lat_long.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv, doc_yield_meta_random_forest.csv, no3_yield_meta_random_forest.csv"
meanConc,miligrams_per_liter_carbon_miligrams_per_liter_nitrogen,Mean concentration of analytes (dissolved organic carbon or nitrate) for each publication.,numeric,7,"crandall_temp_norm.csv, Abbott_temp_norm.csv, Rhea_temp_norm.csv, DOC_CV_temp_norm_fig_data.csv, DOC_temp_norm_fig_data.csv, NO3_CV_temp_norm_fig_data.csv, NO3_temp_norm_fig_data.csv"
mean_dnbr,,,numeric,4,"doc_meta_random_forest.csv, no3_meta_random_forest.csv, Burn_severity_ES_fig_data.csv, DNBR_Severity.csv"
mean_effect,N/A,The mean effect size within each variable bin (climates; burn percentage groups; or time since fire bins).,numeric,5,"Climate_ES_CIs.csv, TSF_ES_CIs.csv, TSF_PD_CIs.csv, Burn_percentage_ES_CIs.csv, Burn_severity_ES_CIs.csv"
min,,,numeric,1,Fire_thresholds.csv
minelevraw,centimeters,Minimum elevation (unsmoothed) in centimeters extracted from the national hydrography dataset (NHD; https://www.epa.gov/waterdata/nhdplus-national-hydrography-dataset-plus).,numeric,10,"geospatial_data.csv, burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest 1.39.32 PM.csv, effect_size_geospatial_fire.csv, effect_size_geospatial_fire_lat_long.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
minelevsmo,centimeters,Maximum elevation (smoothed) in centimeters extracted from the national hydrography dataset (NHD; https://www.epa.gov/waterdata/nhdplus-national-hydrography-dataset-plus).,numeric,12,"geospatial_data.csv, burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest 1.39.32 PM.csv, effect_size_geospatial_fire.csv, effect_size_geospatial_fire_lat_long.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv, doc_yield_meta_random_forest.csv, no3_yield_meta_random_forest.csv"
month,,,numeric,6,"gap_fill.csv, gap_fill_10.csv, gap_fill_20.csv, gap_fill_30.csv, gap_fill_40.csv, gap_fill_take_two.csv"
mtbs_id,,,text,1,fire_watershed_lat_long_comids.csv
n,,,numeric,1,meta_summary.csv
n_effect,N/A,Number of observations within each variable class (climate; time since fire; burn percentage).,numeric,5,"Climate_ES_CIs.csv, TSF_ES_CIs.csv, TSF_PD_CIs.csv, Burn_percentage_ES_CIs.csv, Burn_severity_ES_CIs.csv"
number_of_burn,N/A,Number of burned watersheds included and monitored in each publication.,numeric,2,"Map_input.csv, effect_size_geospatial_fire_lat_long.csv"
number_of_pairs,N/A,Number of paired watersheds included in each publication.,numeric,1,Map_input.csv
number_of_reference,N/A,Number of unburned watersheds included and monitored in each publication.,numeric,1,Map_input.csv
number_of_sites,N/A,Number of total sites included and monitored in each publication.,numeric,1,Map_input.csv
predictor,N/A,Predictor variables included in the random forest model (climate; totdasqkm; maxelevsmo; slope; burn_percentage; time_since_fire).,text,1,Random_Forest_Effect_Size_Fig_data.csv
raw_fi,percentage,Raw feature importance (FI) output from the random forest model.,numeric,1,Random_Forest_Effect_Size_Fig_data.csv
rckdepws,,,numeric,4,"lithology_2.0.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
response_var,N/A,Associates effect size with the proper analyte (dissolved organic carbon or nitrate).,text,32,"Crandall_effect_size.csv, crandall_temp_norm.csv, Abbott_effect_size.csv, Abbott_temp_norm.csv, Rhea_effect_size.csv, Rhea_temp_norm.csv, Climate_ES_CIs.csv, Climate_ES_Fig_data.csv, Effect_Size.csv, Effect_Size_10days.csv, Effect_Size_20days.csv, Effect_Size_30days.csv, Effect_Size_40days.csv, Effect_Size_UPDATED.csv, Percent_Difference.csv, TSF_ES_CIs.csv, TSF_ES_Fig_data.csv, TSF_PD_CIs.csv, TSF_PD_DOC_Fig_data.csv, TSF_PD_NO3_Fig_data.csv, Burn_percentage_ES_CIs.csv, Burn_percentage_ES_fig_data.csv, effect_size_geospatial_fire.csv, effect_size_geospatial_fire_lat_long.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv, DOC_CV_temp_norm_fig_data.csv, DOC_temp_norm_fig_data.csv, NO3_CV_temp_norm_fig_data.csv, NO3_temp_norm_fig_data.csv, Burn_severity_ES_CIs.csv, Burn_severity_ES_fig_data.csv"
sd_effect,N/A,Standard deviation of the effect within each variable class.,numeric,5,"Climate_ES_CIs.csv, TSF_ES_CIs.csv, TSF_PD_CIs.csv, Burn_percentage_ES_CIs.csv, Burn_severity_ES_CIs.csv"
sdconc,miligrams_per_liter_carbon_miligrams_per_liter_nitrogen,Standard deviation of the concentration for each analyte and within each watershed.,numeric,2,"DOC_CV_temp_norm_fig_data.csv, NO3_CV_temp_norm_fig_data.csv"
se_effect,N/A,Standard error of the effect within each variable class.,numeric,5,"Climate_ES_CIs.csv, TSF_ES_CIs.csv, TSF_PD_CIs.csv, Burn_percentage_ES_CIs.csv, Burn_severity_ES_CIs.csv"
slope,degrees,Slope of flowline (meters/meters) based on smoothed elevations extracted from the national hydrography dataset (NHD; https://www.epa.gov/waterdata/nhdplus-national-hydrography-dataset-plus).,numeric,12,"geospatial_data.csv, burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest 1.39.32 PM.csv, effect_size_geospatial_fire.csv, effect_size_geospatial_fire_lat_long.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv, doc_yield_meta_random_forest.csv, no3_yield_meta_random_forest.csv"
streamorde,N/A,Modified Strahler Stream Order extracted from the national hydrography dataset (NHD; https://www.epa.gov/waterdata/nhdplus-national-hydrography-dataset-plus).,numeric,8,"burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv, effect_size_geospatial_fire.csv, effect_size_geospatial_fire_lat_long.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
totdasqkm,km2,Total upstream catchment area from downstream end of flowline extracted from the national hydrography dataset (NHD; https://www.epa.gov/waterdata/nhdplus-national-hydrography-dataset-plus).,numeric,12,"geospatial_data.csv, burn_percentage.csv, Geospatial_data_2024-02-15.csv, random_forest_data.csv, random_forest_data_new.csv, doc_meta_random_forest 1.39.32 PM.csv, effect_size_geospatial_fire.csv, effect_size_geospatial_fire_lat_long.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv, doc_yield_meta_random_forest.csv, no3_yield_meta_random_forest.csv"
upper_ci_effect,N/A,Upper confidence interval (ci) effect. The upper end of the 95 percent confidence interval calculated within each variable bin (climates; burn percentage; time since fire bins),numeric,5,"Climate_ES_CIs.csv, TSF_ES_CIs.csv, TSF_PD_CIs.csv, Burn_percentage_ES_CIs.csv, Burn_severity_ES_CIs.csv"
wsareasqkm,,,numeric,4,"lithology_2.0.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
wsareasqkmrp100,,,numeric,4,"lithology_2.0.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
wspctfull,,,numeric,4,"lithology_2.0.csv, random_forest_data_new.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv"
year,YYYY,Year when the fire took place.,text; date,27,"Crandall_effect_size.csv, crandall_temp_norm.csv, Abbott_effect_size.csv, Abbott_temp_norm.csv, Rhea_effect_size.csv, Rhea_temp_norm.csv, Climate_ES_Fig_data.csv, Effect_Size.csv, Effect_Size_10days.csv, Effect_Size_20days.csv, Effect_Size_30days.csv, Effect_Size_40days.csv, Effect_Size_UPDATED.csv, gap_fill.csv, gap_fill_10.csv, gap_fill_20.csv, gap_fill_30.csv, gap_fill_40.csv, gap_fill_take_two.csv, TSF_ES_Fig_data.csv, Burn_percentage_ES_fig_data.csv, severity_clip.csv, doc_meta_random_forest.csv, no3_meta_random_forest.csv, DOC_temp_norm_fig_data.csv, NO3_temp_norm_fig_data.csv, Burn_severity_ES_fig_data.csv"
zone,,,numeric,1,Fire_thresholds.csv
